"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.2564323313,      0.9297803438,     -0.7274731965,     -0.6977092349,      0.3387982814
          0,           0,           1,     -0.2620805488,      0.8483044591,     -0.8707004674,      -0.848409666,        0.30687164
          0,           0,           2,     -0.2654595854,      0.7678649968,      -1.016705008,      -1.000279638,      0.2878121179
          0,           0,           3,     -0.2678632421,      0.6883983386,      -1.157196929,       -1.14224955,      0.2762167575
          0,           0,           4,     -0.2699913045,      0.6098584618,      -1.272687931,      -1.251266933,      0.2686269297
          0,           0,           5,     -0.2722084788,      0.5322296606,      -1.338476629,      -1.305075371,      0.2630356583
          0,           0,           6,     -0.2746929487,      0.4555369023,      -1.351772059,      -1.310017688,      0.2583388525
          0,           0,           7,     -0.2775201267,      0.3798577465,      -1.335422877,      -1.291679497,      0.2539497421
          0,           0,           8,     -0.2807096176,       0.305332749,       -1.31044818,      -1.268082529,      0.2495673728
          0,           0,           9,     -0.2842515483,      0.2321769554,      -1.286322692,      -1.246274348,      0.2450461844
          0,           0,          10,     -0.2881213403,      0.1606938047,      -1.265715809,       -1.22791877,      0.2403242973
